date,prob_dem_control,median_dem_seats,mean_dem_seats,ci_90_low,ci_90_high,national_env,approval,generic_ballot
2026-02-03,0.4741,50,50.7282,45,58,5.146411428551542,-12.7,4.12
2026-02-05,0.4769,50,50.7606,45,58,5.176411428551543,-12.93,4.15
2026-02-06,0.4769,50,50.7606,45,58,5.176411428551543,-12.93,4.15
2026-02-07,0.4769,50,50.7606,45,58,5.176411428551543,-12.86,4.15
2026-02-08,0.4769,50,50.7606,45,58,5.176411428551543,-12.86,4.15
2026-02-09,0.4759,50,50.7491,45,58,5.166411428551542,-12.82,4.14
2026-02-10,0.472,50,50.7093,45,58,5.126411428551542,-12.78,4.1
2026-02-11,0.4815,50,50.8084,45,58,5.226411428551542,-12.94,4.2
2026-02-12,0.4815,50,50.8084,45,58,5.226411428551542,-13.02,4.2
2026-02-13,0.4829,50,50.818,45,58,5.236411428551542,-13.13,4.21
2026-02-14,0.1341,47,47.0432,42,53,1.0264114285515424,0.0,0.0
2026-02-15,0.1341,47,47.0432,42,53,1.0264114285515424,0.0,0.0
2026-02-16,0.1341,47,47.0432,42,53,1.0264114285515424,0.0,0.0
2026-02-17,0.4829,50,50.818,45,58,5.236411428551542,-13.13,4.21
2026-02-18,0.4829,50,50.818,45,58,5.236411428551542,-13.13,4.21
